sex,bin_lo_min,bin_hi_min,bin_mid_min,n,density_per_min
F,384.5,385.0,384.75,405,810.0
F,385.0,385.5,385.25,460,920.0
F,385.5,386.0,385.75,438,876.0
F,386.0,386.5,386.25,419,838.0
F,386.5,387.0,386.75,378,756.0
F,387.0,387.5,387.25,405,810.0
F,387.5,388.0,387.75,436,872.0
F,388.0,388.5,388.25,394,788.0
F,388.5,389.0,388.75,423,846.0
F,389.0,389.5,389.25,397,794.0
F,389.5,390.0,389.75,389,778.0
F,390.0,390.5,390.25,361,722.0
F,390.5,391.0,390.75,400,800.0
F,391.0,391.5,391.25,332,664.0
F,391.5,392.0,391.75,368,736.0
F,392.0,392.5,392.25,390,780.0
F,392.5,393.0,392.75,368,736.0
F,393.0,393.5,393.25,361,722.0
F,393.5,394.0,393.75,358,716.0
F,394.0,394.5,394.25,344,688.0
F,394.5,395.0,394.75,320,640.0
F,395.0,395.5,395.25,299,598.0
F,395.5,396.0,395.75,320,640.0
F,396.0,396.5,396.25,327,654.0
F,396.5,397.0,396.75,336,672.0
F,397.0,397.5,397.25,299,598.0
F,397.5,398.0,397.75,261,522.0
F,398.0,398.5,398.25,285,570.0
F,398.5,399.0,398.75,323,646.0
F,399.0,399.5,399.25,268,536.0
F,399.5,400.0,399.75,277,554.0
F,400.0,400.5,400.25,270,540.0
F,400.5,401.0,400.75,296,592.0
F,401.0,401.5,401.25,260,520.0
F,401.5,402.0,401.75,254,508.0
F,402.0,402.5,402.25,255,510.0
F,402.5,403.0,402.75,226,452.0
F,403.0,403.5,403.25,244,488.0
F,403.5,404.0,403.75,246,492.0
F,404.0,404.5,404.25,240,480.0
F,404.5,405.0,404.75,234,468.0
F,405.0,405.5,405.25,259,518.0
F,405.5,406.0,405.75,218,436.0
F,406.0,406.5,406.25,250,500.0
F,406.5,407.0,406.75,250,500.0
F,407.0,407.5,407.25,237,474.0
F,407.5,408.0,407.75,219,438.0
F,408.0,408.5,408.25,233,466.0
F,408.5,409.0,408.75,229,458.0
