bin_lo_min,bin_hi_min,bin_mid_min,n,n_F,n_M,n_U,density_per_min
208.0,208.5,208.25,9684,1710,7974,0,19368.0
208.5,209.0,208.75,10234,1806,8428,0,20468.0
209.0,209.5,209.25,10639,1846,8793,0,21278.0
209.5,210.0,209.75,10536,1768,8768,0,21072.0
210.0,210.5,210.25,8399,1621,6778,0,16798.0
210.5,211.0,210.75,8012,1615,6397,0,16024.0
211.0,211.5,211.25,7952,1659,6293,0,15904.0
211.5,212.0,211.75,7834,1674,6160,0,15668.0
212.0,212.5,212.25,7857,1652,6205,0,15714.0
212.5,213.0,212.75,7915,1678,6237,0,15830.0
213.0,213.5,213.25,8020,1630,6390,0,16040.0
213.5,214.0,213.75,8158,1718,6440,0,16316.0
214.0,214.5,214.25,8321,1800,6521,0,16642.0
214.5,215.0,214.75,8585,1769,6816,0,17170.0
215.0,215.5,215.25,8110,1790,6320,0,16220.0
215.5,216.0,215.75,8408,1798,6610,0,16816.0
216.0,216.5,216.25,8533,1924,6609,0,17066.0
216.5,217.0,216.75,8635,1849,6786,0,17270.0
217.0,217.5,217.25,8668,1923,6745,0,17336.0
217.5,218.0,217.75,9086,1964,7122,0,18172.0
218.0,218.5,218.25,9191,1967,7224,0,18382.0
218.5,219.0,218.75,9455,2052,7403,0,18910.0
219.0,219.5,219.25,9624,2117,7507,0,19248.0
219.5,220.0,219.75,9620,2127,7493,0,19240.0
220.0,220.5,220.25,8901,1935,6966,0,17802.0
220.5,221.0,220.75,8797,1969,6828,0,17594.0
221.0,221.5,221.25,8913,2089,6824,0,17826.0
221.5,222.0,221.75,8974,2101,6873,0,17948.0
222.0,222.5,222.25,9060,2076,6984,0,18120.0
222.5,223.0,222.75,9645,2246,7399,0,19290.0
223.0,223.5,223.25,9685,2196,7489,0,19370.0
223.5,224.0,223.75,10016,2303,7713,0,20032.0
224.0,224.5,224.25,10220,2408,7812,0,20440.0
224.5,225.0,224.75,10524,2401,8123,0,21048.0
225.0,225.5,225.25,9656,2370,7286,0,19312.0
225.5,226.0,225.75,9750,2307,7443,0,19500.0
226.0,226.5,226.25,9790,2453,7337,0,19580.0
226.5,227.0,226.75,9955,2359,7596,0,19910.0
227.0,227.5,227.25,10291,2541,7750,0,20582.0
227.5,228.0,227.75,10280,2496,7784,0,20560.0
228.0,228.5,228.25,10362,2576,7786,0,20724.0
228.5,229.0,228.75,10491,2607,7884,0,20982.0
229.0,229.5,229.25,10878,2702,8176,0,21756.0
229.5,230.0,229.75,11002,2727,8275,0,22004.0
230.0,230.5,230.25,10369,2614,7755,0,20738.0
230.5,231.0,230.75,10236,2584,7652,0,20472.0
231.0,231.5,231.25,10400,2689,7711,0,20800.0
231.5,232.0,231.75,10748,2678,8070,0,21496.0
232.0,232.5,232.25,10593,2685,7908,0,21186.0
232.5,233.0,232.75,10840,2757,8083,0,21680.0
233.0,233.5,233.25,10995,2717,8278,0,21990.0
233.5,234.0,233.75,11271,2979,8292,0,22542.0
234.0,234.5,234.25,11622,2927,8695,0,23244.0
234.5,235.0,234.75,11929,3108,8821,0,23858.0
235.0,235.5,235.25,11909,3033,8876,0,23818.0
235.5,236.0,235.75,12056,3228,8828,0,24112.0
236.0,236.5,236.25,12764,3245,9519,0,25528.0
236.5,237.0,236.75,12674,3422,9252,0,25348.0
237.0,237.5,237.25,13083,3437,9646,0,26166.0
237.5,238.0,237.75,13528,3605,9923,0,27056.0
238.0,238.5,238.25,13765,3689,10076,0,27530.0
238.5,239.0,238.75,14652,3915,10737,0,29304.0
239.0,239.5,239.25,14405,3701,10704,0,28810.0
239.5,240.0,239.75,13273,3464,9809,0,26546.0
240.0,240.5,240.25,10490,2995,7495,0,20980.0
240.5,241.0,240.75,9848,2902,6946,0,19696.0
241.0,241.5,241.25,9602,2924,6678,0,19204.0
