city,label,p10,median,p90,n_p10,n_median,n_p90
London,2023,-11.497863784870566,-0.6795016987542479,13.497013934970138,5501,5501,5501
London,2024,-12.833256899068902,-0.36359808732818744,15.155460158014016,6062,6062,6062
London,2025,-8.804320679000865,2.954061318689394,20.273596249011074,6972,6972,6972
London,2026,-11.790663637887839,0.9075993568333329,20.984391093840873,7618,7618,7618
Madrid,2022,-5.122153790139645,2.4848568281938377,11.521490531887785,217,217,217
Madrid,2023,-6.395509926296889,2.416211353837572,12.76364286739706,1070,1070,1070
Madrid,2024,-7.328878831123842,1.2390121000267151,11.246652832417615,1546,1546,1546
Madrid,2025,-6.695219941449022,2.020769675215428,14.047960997223518,1508,1508,1508
Madrid,2026,-5.547408326368483,3.8468263682462034,16.93946664084097,1413,1413,1413
New York,2018,-10.470373862180091,-0.6661027701416744,12.088837039397317,1759,1759,1759
New York,2019,-10.705397886215685,-0.4318951359461476,11.323343810039338,8778,8778,8778
New York,2021,-10.277877383291063,0.696570339066116,14.315912661100638,5836,5836,5836
New York,2022,-4.913623226709123,6.250999712082916,19.954460135852646,5479,5479,5479
New York,2023,-12.076346626671365,-0.22402404207421678,14.447959977604953,9296,9296,9296
New York,2024,-14.15491952728716,-2.5053967423300794,9.85043348644465,11077,11077,11077
New York,2025,-9.523215709377691,0.9935710111046214,14.803147906606185,12433,12433,12433
Oslo,2016,-8.105646468820387,0.7595671203094678,17.422927806020827,162,162,162
Oslo,2017,-8.028761854352041,0.1466378046225847,9.774227163436596,507,507,507
Oslo,2018,-8.871729169143032,-0.4448631391636537,9.281005006501163,619,619,619
Paris,2019,-14.791480814263657,-2.8694427610643336,11.293370609231124,376,376,376
Paris,2024,-16.48875176056805,-4.54711468224982,9.767949620901888,385,385,385
Prague,2016,-2.86854383822698,6.718405492215707,19.717337948492883,228,228,228
Prague,2018,-9.49117286433499,1.9812617384060816,14.552605342302282,956,956,956
Rotterdam,2013,-5.163642322392689,3.1552128630730203,13.327987552512653,770,770,770
Rotterdam,2014,-9.799665534834357,-1.929206508975001,6.662102013240206,2245,2245,2245
Rotterdam,2015,-8.393949040003703,-0.8600839767032409,8.320794168251613,2697,2697,2697
Rotterdam,2016,-6.571520398418205,0.5914450070280686,10.610269252473174,2884,2884,2884
Rotterdam,2017,-5.4241689465082255,2.8274785317567663,13.56766651969474,3000,3000,3000
Rotterdam,2018,-5.941802598648696,2.743448154965389,13.858592683072997,2989,2989,2989
Rotterdam,2019,-7.184517731301137,1.4928541106551618,11.955770743803583,3005,3005,3005
Rotterdam,2021,-13.08777429467085,-1.818293885601574,8.304047897956535,1311,1311,1311
Rotterdam,2022,-7.22669656124366,-0.23915546281888522,9.071321054128418,2104,2104,2104
Rotterdam,2023,-9.254063270003543,-1.7107971888975615,6.865028667594127,2979,2979,2979
Rotterdam,2024,-7.471505281952979,0.15908023224943113,10.649380474976033,2750,2750,2750
Singapore,2025,-3.3653727413053875,11.06607542009731,48.38169033124874,112,112,112
Sydney,2017,-12.74154503996979,-1.2958444278068637,15.825982864149196,254,254,254
Sydney,2018,-11.12089432602223,-0.4982871379632492,12.85289593381964,689,689,689
Valencia,2021,-10.605473005210001,-0.9894404257088207,9.081192398817654,375,375,375
Valencia,2022,-8.593253238198105,-1.041404326648565,8.351384114454653,2396,2396,2396
Valencia,2023,-8.466335334915069,-1.2187240328686233,8.786014474724785,3727,3727,3727
Valencia,2024,-7.68149309333711,0.8443271767810012,11.92010800522242,4137,4137,4137
Warsaw,2016,-11.572517332445528,-3.005998517220465,7.06553703963031,1909,1909,1909
Warsaw,2017,-7.961578425635082,0.31692348488321365,13.551469421990836,1760,1760,1760
Warsaw,2018,-7.024749544128466,1.6493694247101343,14.450912940404756,1330,1330,1330
Washington,2009,-10.774833369532686,-0.7900002803213346,11.578924979708159,2778,2778,2778
Washington,2010,-10.066473787602694,1.3530391340549563,14.276103440458568,4165,4165,4165
Washington,2011,-11.133981596010116,-0.14420378196323136,13.316921213869435,3920,3920,3920
Washington,2012,-10.332553149990243,0.9060075268317647,14.1553162661342,4401,4401,4401
Washington,2013,-10.444518879660665,0.40298055062187865,13.854847665096834,4154,4154,4154
Washington,2014,-8.804433887569274,2.8935583878746174,17.90747897249374,4421,4421,4421
Washington,2015,-8.951035348326837,2.5552574421872976,16.677992074486028,5183,5183,5183
Washington,2016,-6.839777231386493,4.681635609402779,19.694674355987303,4687,4687,4687
Washington,2017,-8.810770646645228,2.9791515287015846,17.195898885486045,3953,3953,3953
Washington,2018,-11.576871789217524,-0.35408432147562285,13.053957620417735,4147,4147,4147
