city,outcome,label,value,n_value
Chicago,More than 2% slower,20,-4.707786170830907,4359
Chicago,Within 2%,20,-2.5862762430939323,2311
Copenhagen,More than 2% faster,20,-1.9007512374568658,8078
Copenhagen,More than 2% slower,20,-5.500378093588553,7674
Copenhagen,Within 2%,20,-2.8962465966549944,4065
Eindhoven,More than 2% faster,20,-2.2377421140011067,1501
Eindhoven,More than 2% slower,20,-5.377469254419676,1299
Eindhoven,Within 2%,20,-2.476985990155245,1005
Gold Coast,More than 2% faster,20,-2.8941360529961213,1644
Gold Coast,More than 2% slower,20,-5.834803950912903,1567
Gold Coast,Within 2%,20,-3.1731659693165937,909
Helsinki,More than 2% faster,20,-4.411520477265385,367
Helsinki,More than 2% slower,20,-5.931020084566596,839
Helsinki,Within 2%,20,-4.552202786855474,350
London,More than 2% faster,20,-2.148378198420997,11447
London,More than 2% slower,20,-3.83678089824786,13720
London,Within 2%,20,-2.0469451014598183,6896
Madrid,More than 2% faster,20,-2.323016136529654,1447
Madrid,More than 2% slower,20,-4.207106581968634,2978
Madrid,Within 2%,20,-2.515650618572063,1329
New York,More than 2% faster,20,-2.498179126724226,21390
New York,More than 2% slower,20,-3.9469799906933445,22741
New York,Within 2%,20,-2.535660059046807,10595
Oslo,More than 2% faster,20,-1.4340960292875238,475
Oslo,More than 2% slower,20,-2.625026740611569,510
Oslo,Within 2%,20,-2.028553236774405,322
Paris,More than 2% faster,20,-2.616605748709999,440
Paris,More than 2% slower,20,-4.740500509611357,196
Paris,Within 2%,20,-3.4635477884317867,125
Prague,More than 2% faster,20,-4.783143736445966,344
Prague,More than 2% slower,20,-7.039047753204675,639
Prague,Within 2%,20,-5.225788561525135,201
Rotterdam,More than 2% faster,20,-2.482375007348947,9242
Rotterdam,More than 2% slower,20,-5.527779484029482,10573
Rotterdam,Within 2%,20,-3.0695074439961,6919
Sydney,More than 2% faster,20,-2.6644181224744043,408
Sydney,More than 2% slower,20,-4.620135980178164,340
Sydney,Within 2%,20,-2.8583455029636773,195
Valencia,More than 2% faster,20,-1.6578683514890225,4024
Valencia,More than 2% slower,20,-4.918232819074342,3655
Valencia,Within 2%,20,-2.1899338069265415,2956
Warsaw,More than 2% faster,20,-2.2310975609756145,2061
Warsaw,More than 2% slower,20,-5.586847942558032,1818
Warsaw,Within 2%,20,-3.0143007582139836,1123
Washington,More than 2% faster,20,-5.110443894294425,13903
Washington,More than 2% slower,20,-7.03788327611271,19978
Washington,Within 2%,20,-5.222698212659566,7928
Amsterdam,More than 2% faster,25,-1.9521875915481213,5448
Amsterdam,More than 2% slower,25,-3.0753259135679833,5400
Amsterdam,Within 2%,25,-2.1699736031676187,3297
Auckland,More than 2% slower,25,-0.6028894154818332,106
Austin,More than 2% faster,25,0.23478567761807678,501
Austin,More than 2% slower,25,0.6828514920597994,313
Austin,Within 2%,25,0.6050267820354449,223
Berlin,More than 2% faster,25,-0.7512479905237401,41593
Berlin,More than 2% slower,25,-1.1446146162810034,46317
Berlin,Within 2%,25,-0.7298549061398485,26502
Boston,More than 2% faster,25,-1.1397952099965192,7021
Boston,More than 2% slower,25,-1.5371730662214755,10069
Boston,Within 2%,25,-1.1622335737023037,5582
Chicago,More than 2% faster,25,-1.1620978308341745,4395
Chicago,More than 2% slower,25,-1.2805197549123126,4359
Chicago,Within 2%,25,-1.2502396109005165,2311
Copenhagen,More than 2% faster,25,-1.0737444251583184,8078
Copenhagen,More than 2% slower,25,-1.7781695981625822,7674
Copenhagen,Within 2%,25,-1.2884413942568118,4065
Eindhoven,More than 2% faster,25,-1.0296642649087806,1501
Eindhoven,More than 2% slower,25,-1.8011708586296638,1299
Eindhoven,Within 2%,25,-1.0668962452788144,1005
Gold Coast,More than 2% faster,25,-2.4914143504160933,1644
Gold Coast,More than 2% slower,25,-3.076943074256766,1567
Gold Coast,Within 2%,25,-2.259741425749673,909
Helsinki,More than 2% faster,25,-1.0101734489659675,367
Helsinki,More than 2% slower,25,-1.7521255904417887,839
Helsinki,Within 2%,25,-0.9624769506541953,350
London,More than 2% faster,25,-1.0829950418345224,11447
London,More than 2% slower,25,-0.9078247954561636,13720
London,Within 2%,25,-1.0275905721159495,6896
Madrid,More than 2% faster,25,-3.4429807930096423,1447
Madrid,More than 2% slower,25,-4.830280601341652,2978
Madrid,Within 2%,25,-3.742555308887696,1329
New York,More than 2% faster,25,1.493625599288373,21390
New York,More than 2% slower,25,2.4943907664058074,22741
New York,Within 2%,25,1.6472269624573377,10595
Oslo,More than 2% faster,25,-1.8900260068883123,475
Oslo,More than 2% slower,25,-2.5618209886287877,510
Oslo,Within 2%,25,-2.3321232461611663,322
Paris,More than 2% faster,25,-2.123661416254091,440
Paris,More than 2% slower,25,-1.8560314365439978,196
