odds_ratio,chi2,p,dof,expected,significant,nobs(M),nobs(F),count(M),count(F),mean(M),mean(F),std(M),std(F),years_from_pb,index
1.805044043850014,75.34620571856752,3.950067195953715e-18,1,"[[1601.68495575 2211.31504425]
 [ 534.31504425  737.68495575]]",True,3813,1272,1734,402,0.45476003147128247,0.3160377358490566,0.49801444830555897,0.4651106906050321,7,7
1.7925373838388603,44.24614001424327,2.895748219832891e-11,1,"[[1137.16832845 1540.83167155]
 [ 310.83167155  421.16832845]]",True,2678,732,1216,232,0.4540702016430172,0.31693989071038253,0.4979789691519396,0.4656019232828554,8,8
2.029741081287473,34.235300130021294,4.883503296316308e-09,1,"[[595.43152455 924.56847545]
 [162.56847545 252.43152455]]",True,1520,415,647,111,0.4256578947368421,0.2674698795180723,0.4946050898791282,0.44317378455592144,9,9
1.793706415015786,17.2278926716347,3.315328898619468e-05,1,"[[408.66164384 734.33835616]
 [113.33835616 203.66164384]]",True,1143,317,440,82,0.38495188101487315,0.2586750788643533,0.4867969332791255,0.438599048226076,10,10
1.6842719154364862,9.50370291474604,0.0020505766059217634,1,"[[284.84387755 484.15612245]
 [ 78.15612245 132.84387755]]",True,769,211,304,59,0.3953185955786736,0.2796208530805687,0.48923721845008383,0.44988024686071654,11,11
1.149240121580547,0.48800608058840156,0.48481809692957467,1,"[[195.447178 353.552822]
 [ 50.552822  91.447178]]",False,549,142,199,47,0.36247723132969034,0.33098591549295775,0.4811540092255081,0.4722337290322248,12,12
2.2087604846225535,11.45397524074905,0.000713412199751393,1,"[[142.40480962 237.59519038]
 [ 44.59519038  74.40480962]]",True,380,119,158,29,0.41578947368421054,0.24369747899159663,0.4935073525418997,0.43112754325479213,13,13
3.0989583333333335,15.214955547436366,9.5940598814489e-05,1,"[[103.5 195.5]
 [ 31.5  59.5]]",True,299,91,119,16,0.3979933110367893,0.17582417582417584,0.490304644328819,0.3827795011754763,14,14
2.0090909090909093,3.7042784458834426,0.05427313288207554,1,"[[ 72.30769231 115.69230769]
 [ 17.69230769  28.30769231]]",False,188,46,78,12,0.4148936170212766,0.2608695652173913,0.4940193000643245,0.44396108982135163,15,15
2.528375733855186,4.23099516201864,0.03969216143805224,1,"[[32.86184211 78.13815789]
 [12.13815789 28.86184211]]",False,111,41,38,7,0.34234234234234234,0.17073170731707318,0.4766453893523226,0.3809487514345101,16,16
1.6581818181818182,0.829327991238729,0.3624669193302633,1,"[[22.24271845 56.75728155]
 [ 6.75728155 17.24271845]]",False,79,24,24,5,0.3037974683544304,0.20833333333333334,0.4628349204449164,0.4148511169990534,17,17
4.8125,2.424648915852152,0.11943999875815299,1,"[[11.89655172 34.10344828]
 [ 3.10344828  8.89655172]]",False,46,12,14,1,0.30434782608695654,0.08333333333333333,0.46521513386061164,0.28867513459481287,18,18
2.8,0.8258823529411765,0.3634658984081516,1,"[[13.07692308 20.92307692]
 [ 1.92307692  3.07692308]]",False,34,5,14,1,0.4117647058823529,0.2,0.49955416843564227,0.44721359549995804,19,19
0.38461538461538464,0.42328042328042337,0.5153046989675255,1,"[[ 5.4 12.6]
 [ 0.6  1.4]]",False,18,2,5,1,0.2777777777777778,0.5,0.4608885989624768,0.7071067811865476,20,20
0.42857142857142855,,,1,,,3,1,0,0,0.0,0.0,0.0,,21,21
