ability_band,label,p10,median,p90,n_p10,n_median,n_p90
Under 3 hours,Chicago,-0.8109357832436104,0.0,4.219463893655185,4496,4496,4496
Under 3 hours,Copenhagen,-5.53939896231309,0.25179514049561424,18.77106830268162,1720,1720,1720
Under 3 hours,Eindhoven,-3.5140205929224573,0.7503799392097221,11.352503986794021,463,463,463
Under 3 hours,Gold Coast,-4.077711630650373,0.7951260835673657,17.45415559258243,550,550,550
Under 3 hours,London,-4.047998939125257,1.0301369863013665,19.382814303156167,5597,5597,5597
Under 3 hours,Madrid,-0.9736169379251391,3.940196437559995,20.502072362092967,444,444,444
Under 3 hours,New York,-3.7108968896391192,1.5021256495040047,15.341261074978206,3613,3613,3613
Under 3 hours,Prague,-2.041479798413465,2.8579832182715315,16.396408151837402,118,118,118
Under 3 hours,Rotterdam,-3.308195927875207,0.8528078148173468,12.230634777263461,1474,1474,1474
Under 3 hours,Valencia,-4.076664296734173,-0.11497556769186623,9.258450453602904,2193,2193,2193
Under 3 hours,Warsaw,-3.3179870975131998,0.5282669138090723,10.421644826151518,259,259,259
Under 3 hours,Washington,-2.9576748432168265,1.9666596331709085,15.705401650254942,442,442,442
