city,segment,avg_grade,mid_km,post20,gap_multiplier,curve_version
Prague,05,-0.0013,2.5,0,0.979004,v2_27cities
Prague,10,-0.0014,7.5,0,0.992498,v2_27cities
Prague,15,0.0021,12.5,0,1.011675,v2_27cities
Prague,20,-0.0004,17.5,0,1.021379,v2_27cities
Prague,25,-0.0004,22.5,1,1.049108,v2_27cities
Prague,30,-0.0001,27.5,1,1.063233,v2_27cities
Prague,35,-0.0003,32.5,1,1.076569,v2_27cities
Prague,40,-0.0005,37.5,1,1.089904,v2_27cities
Prague,42,0.0043,41.0975,1,1.107304,v2_27cities
Rotterdam,05,-0.001,2.5,0,0.979478,v2_27cities
Rotterdam,10,-0.0012,7.5,0,0.992814,v2_27cities
Rotterdam,15,0.0007,12.5,0,1.009465,v2_27cities
Rotterdam,20,-0.0004,17.5,0,1.021379,v2_27cities
Rotterdam,25,0.0011,22.5,1,1.051476,v2_27cities
Rotterdam,30,-0.0006,27.5,1,1.062444,v2_27cities
Rotterdam,35,-0.0009,32.5,1,1.075622,v2_27cities
Rotterdam,40,0.0009,37.5,1,1.092115,v2_27cities
Rotterdam,42,0.0032,41.0975,1,1.105568,v2_27cities
Singapore,05,-0.002,2.5,0,0.977899,v2_27cities
Singapore,10,0.0018,7.5,0,0.99755,v2_27cities
Singapore,15,-0.0013,12.5,0,1.006307,v2_27cities
Singapore,20,0.0005,17.5,0,1.0228,v2_27cities
Singapore,25,-0.0012,22.5,1,1.047845,v2_27cities
Singapore,30,0.0024,27.5,1,1.06718,v2_27cities
Singapore,35,-0.0006,32.5,1,1.076095,v2_27cities
Singapore,40,-0.0,37.5,1,1.090694,v2_27cities
Singapore,42,0.0105,41.0975,1,1.117092,v2_27cities
Stockholm,05,-0.0037,2.5,0,0.975216,v2_27cities
Stockholm,10,0.0041,7.5,0,1.001181,v2_27cities
Stockholm,15,-0.0033,12.5,0,1.00315,v2_27cities
Stockholm,20,0.0004,17.5,0,1.022642,v2_27cities
Stockholm,25,0.004,22.5,1,1.056054,v2_27cities
Stockholm,30,-0.004,27.5,1,1.057076,v2_27cities
Stockholm,35,0.0003,32.5,1,1.077516,v2_27cities
Stockholm,40,0.0009,37.5,1,1.092115,v2_27cities
Stockholm,42,0.0048,41.0975,1,1.108094,v2_27cities
Sydney,05,-0.015,2.5,0,0.957377,v2_27cities
Sydney,10,-0.0004,7.5,0,0.994077,v2_27cities
Sydney,15,0.0072,12.5,0,1.019726,v2_27cities
Sydney,20,-0.004,17.5,0,1.015696,v2_27cities
Sydney,25,-0.0002,22.5,1,1.049424,v2_27cities
Sydney,30,0.0028,27.5,1,1.067811,v2_27cities
Sydney,35,-0.0004,32.5,1,1.076411,v2_27cities
Sydney,40,-0.0048,37.5,1,1.083116,v2_27cities
Sydney,42,-0.0028,41.0975,1,1.096096,v2_27cities
Tokyo,05,-0.0045,2.5,0,0.973953,v2_27cities
Tokyo,10,-0.0012,7.5,0,0.992814,v2_27cities
Tokyo,15,-0.0013,12.5,0,1.006307,v2_27cities
Tokyo,20,-0.0003,17.5,0,1.021537,v2_27cities
Tokyo,25,-0.0,22.5,1,1.049739,v2_27cities
Tokyo,30,0.0016,27.5,1,1.065917,v2_27cities
Tokyo,35,0.0024,32.5,1,1.080831,v2_27cities
Tokyo,40,-0.0018,37.5,1,1.087852,v2_27cities
Tokyo,42,0.0023,41.0975,1,1.104147,v2_27cities
Valencia,05,-0.0009,2.5,0,0.979636,v2_27cities
Valencia,10,0.0009,7.5,0,0.996129,v2_27cities
Valencia,15,0.0012,12.5,0,1.010254,v2_27cities
