scope,segment,seg_from_km,mid_km,dist_km,n_pace,n_live_gap_pace,mean_pace,mean_live_gap_pace,mean_pace_minus_live_gap,mean_live_gap_over_pace,gap_source
London,42,40.0,41.0975,2.195,273400,273400,6.854487,6.230217,0.62427,0.908925,live_v2_curve_x_course_segments
New York,05,0.0,2.5,5.0,284604,284604,5.926258,6.07392,-0.147662,1.024917,live_v2_curve_x_course_segments
New York,10,5.0,7.5,5.0,284604,284604,5.933396,5.980148,-0.046752,1.007879,live_v2_curve_x_course_segments
New York,15,10.0,12.5,5.0,284604,284604,6.062955,6.017402,0.045553,0.992487,live_v2_curve_x_course_segments
New York,20,15.0,17.5,5.0,284604,284604,6.303475,6.175349,0.128126,0.979674,live_v2_curve_x_course_segments
New York,25,20.0,22.5,5.0,284604,284604,6.726366,6.423108,0.303258,0.954915,live_v2_curve_x_course_segments
New York,30,25.0,27.5,5.0,284604,284604,6.675225,6.273576,0.401649,0.93983,live_v2_curve_x_course_segments
New York,35,30.0,32.5,5.0,284604,284604,7.152126,6.632746,0.519379,0.927381,live_v2_curve_x_course_segments
New York,40,35.0,37.5,5.0,284604,284604,7.245667,6.617312,0.628355,0.913279,live_v2_curve_x_course_segments
New York,42,40.0,41.0975,2.195,284604,284604,6.880395,6.2457,0.634695,0.907753,live_v2_curve_x_course_segments
Tokyo,05,0.0,2.5,5.0,353,353,3.345703,3.435181,-0.089477,1.026744,live_v2_curve_x_course_segments
Tokyo,10,5.0,7.5,5.0,353,353,3.340349,3.364528,-0.024179,1.007238,live_v2_curve_x_course_segments
Tokyo,15,10.0,12.5,5.0,353,353,3.359537,3.338481,0.021057,0.993732,live_v2_curve_x_course_segments
Tokyo,20,15.0,17.5,5.0,353,353,3.391095,3.3196,0.071495,0.978917,live_v2_curve_x_course_segments
Tokyo,25,20.0,22.5,5.0,353,353,3.37746,3.217427,0.160033,0.952617,live_v2_curve_x_course_segments
Tokyo,30,25.0,27.5,5.0,353,353,3.457063,3.243277,0.213786,0.93816,live_v2_curve_x_course_segments
Tokyo,35,30.0,32.5,5.0,353,353,3.500425,3.238642,0.261783,0.925214,live_v2_curve_x_course_segments
Tokyo,40,35.0,37.5,5.0,353,353,3.619046,3.326781,0.292265,0.919242,live_v2_curve_x_course_segments
Tokyo,42,40.0,41.0975,2.195,353,353,3.667706,3.321755,0.345951,0.905677,live_v2_curve_x_course_segments
Washington,05,0.0,2.5,5.0,213998,213998,6.32596,6.351023,-0.025062,1.003962,live_v2_curve_x_course_segments
Washington,10,5.0,7.5,5.0,213998,213998,6.16187,6.291506,-0.129636,1.021038,live_v2_curve_x_course_segments
Washington,15,10.0,12.5,5.0,213998,213998,6.332927,6.285346,0.047581,0.992487,live_v2_curve_x_course_segments
Washington,20,15.0,17.5,5.0,213998,213998,6.391662,6.256905,0.134757,0.978917,live_v2_curve_x_course_segments
Washington,25,20.0,22.5,5.0,213998,213998,6.679158,6.35599,0.323167,0.951616,live_v2_curve_x_course_segments
Washington,30,25.0,27.5,5.0,213998,213998,7.016762,6.600438,0.416324,0.940667,live_v2_curve_x_course_segments
Washington,35,30.0,32.5,5.0,213998,213998,7.439153,6.89792,0.541233,0.927245,live_v2_curve_x_course_segments
Washington,40,35.0,37.5,5.0,213998,213998,7.840127,7.181964,0.658162,0.916052,live_v2_curve_x_course_segments
Washington,42,40.0,41.0975,2.195,213998,213998,7.634468,6.963141,0.671327,0.912066,live_v2_curve_x_course_segments
Paris,05,0.0,2.5,5.0,100040,100040,5.541763,5.64877,-0.107007,1.019309,live_v2_curve_x_course_segments
Paris,10,5.0,7.5,5.0,100040,100040,5.560924,5.566655,-0.005731,1.001031,live_v2_curve_x_course_segments
Paris,15,10.0,12.5,5.0,100040,100040,5.616086,5.574764,0.041322,0.992642,live_v2_curve_x_course_segments
Paris,20,15.0,17.5,5.0,100040,100040,5.665938,5.549054,0.116884,0.979371,live_v2_curve_x_course_segments
Paris,25,20.0,22.5,5.0,100040,100040,5.79699,5.540644,0.256346,0.95578,live_v2_curve_x_course_segments
Paris,30,25.0,27.5,5.0,100040,100040,6.116481,5.748451,0.368029,0.93983,live_v2_curve_x_course_segments
Paris,35,30.0,32.5,5.0,100040,100040,6.482924,6.022723,0.460202,0.929013,live_v2_curve_x_course_segments
Paris,40,35.0,37.5,5.0,100040,100040,6.748521,6.135856,0.612665,0.909215,live_v2_curve_x_course_segments
Paris,42,40.0,41.0975,2.195,100040,100040,6.242895,5.756931,0.485964,0.922157,live_v2_curve_x_course_segments
Amsterdam,05,0.0,2.5,5.0,152914,152914,5.457918,5.568683,-0.110765,1.020294,live_v2_curve_x_course_segments
Amsterdam,10,5.0,7.5,5.0,152914,152914,5.364028,5.38829,-0.024262,1.004523,live_v2_curve_x_course_segments
Amsterdam,15,10.0,12.5,5.0,152914,152914,5.405528,5.359876,0.045652,0.991555,live_v2_curve_x_course_segments
Amsterdam,20,15.0,17.5,5.0,152914,152914,5.505973,5.398231,0.107742,0.980432,live_v2_curve_x_course_segments
Amsterdam,25,20.0,22.5,5.0,152914,152914,5.563578,5.295979,0.267599,0.951902,live_v2_curve_x_course_segments
