ability_band,sex,ability_lo_min,n,finish_p10_min,finish_p50_min,finish_p90_min,mean_positive_split,mean_split_ratio,htw_rate,mean_severity,severity_none_rate,severity_mild_rate,severity_moderate_rate,severity_severe_rate,pace_first_half_p10,pace_first_half_p25,pace_first_half_p50,pace_first_half_p75,pace_first_half_p90,base_pace_p10,base_pace_p25,base_pace_p50,base_pace_p75,base_pace_p90,recommended_first_half_lo,recommended_first_half_hi,recommended_base_pace_lo,recommended_base_pace_hi
a240,M,240,351223,243.13333129882812,255.96665954589844,269.3500061035156,0.13343553245067596,1.133435606956482,0.4239585676336686,0.1401130110025406,0.4124729872474183,0.45058837262935514,0.11477892962590719,0.022159710497319365,5.296666622161865,5.505833148956299,5.694166660308838,5.926666736602783,6.164166450500488,5.288888931274414,5.488888740539551,5.673333168029785,5.897777557373047,6.137777805328369,5.505833148956299,5.926666736602783,5.488888740539551,5.897777557373047
a270,F,270,159585,273.04998779296875,285.5833435058594,298.75,0.11177033931016922,1.1117703914642334,0.24706582698875207,0.11193400621414185,0.5089952063163831,0.4279474887990726,0.055957640129084815,0.007099664755459473,6.000833511352539,6.207499980926514,6.424166679382324,6.650000095367432,6.867499828338623,6.021111011505127,6.225555419921875,6.440000057220459,6.670000076293945,6.89555549621582,6.207499980926514,6.650000095367432,6.225555419921875,6.670000076293945
a270,M,270,223340,272.8833312988281,285.01666259765625,298.8333435058594,0.18367338180541992,1.18367338180542,0.562501119369571,0.18581262230873108,0.26800394018089013,0.46619056147577687,0.21225038058565415,0.05355511775767888,5.680833339691162,5.934166431427002,6.223333358764648,6.494999885559082,6.752500057220459,5.6811113357543945,5.932222366333008,6.218888759613037,6.492222309112549,6.757777690887451,5.934166431427002,6.494999885559082,5.932222366333008,6.492222309112549
a300,F,300,100688,302.6833190917969,314.75,328.4166564941406,0.14960427582263947,1.149604320526123,0.36069839504211026,0.142983540892601,0.35334895916097253,0.5332015731765454,0.09883004926108374,0.014619418401398378,6.500833511352539,6.7216668128967285,6.956666469573975,7.192500114440918,7.430833339691162,6.5477776527404785,6.773333549499512,7.015555381774902,7.2588887214660645,7.505555629730225,6.7216668128967285,7.192500114440918,6.773333549499512,7.2588887214660645
a300,M,300,110060,302.5833435058594,314.3666687011719,328.5666809082031,0.22782012820243835,1.2278200387954712,0.6523078320915864,0.2224639505147934,0.1648737052516809,0.48057423223696166,0.2631928039251317,0.09135925858622569,6.135000228881836,6.423333168029785,6.723750114440918,7.014166831970215,7.2783331871032715,6.157777786254883,6.455555438995361,6.7622222900390625,7.059999942779541,7.337777614593506,6.423333168029785,7.014166831970215,6.455555438995361,7.059999942779541
a330,F,330,62699,332.6333312988281,344.1833190917969,357.8999938964844,0.17477534711360931,1.174775242805481,0.41938467918148614,0.16060034930706024,0.28844160193942486,0.5553517599961721,0.13277723727651158,0.023429400787891352,6.994166851043701,7.246666431427002,7.519166469573975,7.791666507720947,8.042499542236328,7.077777862548828,7.344444274902344,7.633333206176758,7.912222385406494,8.178889274597168,7.246666431427002,7.791666507720947,7.344444274902344,7.912222385406494
a330,M,330,55174,332.45001220703125,343.79998779296875,358.0833435058594,0.2525787055492401,1.2525787353515625,0.665385870156233,0.23772494494915009,0.13535360858375323,0.4727045347446261,0.28176314930945734,0.11017870736216334,6.615833282470703,6.940833568572998,7.263333320617676,7.5933332443237305,7.899166584014893,6.686666488647461,7.026666641235352,7.365555763244629,7.711111068725586,8.028554916381836,6.940833568572998,7.5933332443237305,7.026666641235352,7.711111068725586
a360,F,360,30741,362.29998779296875,373.20001220703125,387.4333190917969,0.1841643899679184,1.1841644048690796,0.4208711492794639,0.1632145196199417,0.28583975797794475,0.5505351159689015,0.13620246576233694,0.027422660290816823,7.557499885559082,7.8383331298828125,8.125,8.40999984741211,8.66333293914795,7.696666717529297,7.989999771118164,8.296667098999023,8.592222213745117,8.863333702087402,7.8383331298828125,8.40999984741211,7.989999771118164,8.592222213745117
a360,M,360,22131,362.23333740234375,373.0,387.6333312988281,0.25652042031288147,1.256520390510559,0.612082599069179,0.23253783583641052,0.1567936378835118,0.47399575256427634,0.2604491437350323,0.10876146581717952,7.151666641235352,7.526666641235352,7.890833377838135,8.232500076293945,8.540833473205566,7.28000020980835,7.691111087799072,8.067777633666992,8.424444198608398,8.735555648803711,7.526666641235352,8.232500076293945,7.691111087799072,8.424444198608398
a390,F,390,13474,392.1666564941406,402.4333190917969,416.961669921875,0.193171426653862,1.1931713819503784,0.43172035030428974,0.16844847798347473,0.2743060709514621,0.5518034733560933,0.13834050764435207,0.035549948048092625,8.095000267028809,8.432499885559082,8.744166374206543,9.037500381469727,9.310832977294922,8.277777671813965,8.617777824401855,8.95111083984375,9.267777442932129,9.54111099243164,8.432499885559082,9.037500381469727,8.617777824401855,9.267777442932129
