cohort_key,n
a330|Oslo|null|F,3
a330|Barcelona|null|F,3
a360|Auckland|null|F,3
a150|Dubai|null|M,3
a360|Boston|null|F,3
a390|Chicago|null|M,3
a390|Berlin|null|M,3
a120|Chicago|null|M,3
a450|London|null|M,3
a120|Eindhoven|null|M,3
a360|Gold Coast|null|F,2
a360|Helsinki|null|M,2
a420|Austin|null|M,2
a450|Chicago|null|M,2
a390|Austin|null|M,2
a390|Auckland|null|M,2
a450|London|null|F,2
a150|Austin|null|M,2
a120|Barcelona|null|M,2
a420|Chicago|null|M,2
a450|Amsterdam|null|M,2
a360|Dubai|null|F,2
a180|Austin|null|F,2
a150|Gold Coast|null|F,2
a390|Amsterdam|null|F,2
a510|Amsterdam|null|F,1
a510|Chicago|null|M,1
a420|Amsterdam|null|F,1
a390|Copenhagen|null|M,1
a1050|Amsterdam|null|M,1
a120|Auckland|null|M,1
a120|Madrid|null|M,1
a120|Helsinki|null|M,1
a120|Gold Coast|null|M,1
a120|Gold Coast|null|F,1
a120|Madrid|null|F,1
a120|Oslo|null|M,1
a150|Austin|null|F,1
a1050|Amsterdam|null|F,1
a120|Berlin|null|F,1
a450|Chicago|null|F,1
a450|Berlin|null|M,1
a450|Amsterdam|null|F,1
a30|Boston|null|F,1
a540|Amsterdam|null|M,1
a180|Helsinki|null|F,1
a150|Madrid|null|F,1
a150|Dubai|null|F,1
a330|Eindhoven|null|M,1
a360|Barcelona|null|F,1
a360|Madrid|null|F,1
a360|Rotterdam|null|M,1
a750|Amsterdam|null|M,1
a870|Amsterdam|null|M,1
