city,label,opening,retention,n_opening,n_retention
Boston,2019,4.941666666666666,12.455122894228122,24999,24999
Boston,2022,4.926666666666667,7.55555555555556,24763,24763
Boston,2023,4.908333333333333,5.276134122287979,26429,26429
Boston,2024,4.92,12.798942390570755,25460,25460
Boston,2025,4.8425,7.402355553567597,28340,28340
Boston,2026,4.799166666666666,4.915797817520451,28702,28702
Chicago,2015,5.425,8.490566037735858,22055,22055
Chicago,2017,6.0975,15.957873620862584,44009,44009
Chicago,2018,5.630833333333333,8.48466483642304,51690,51690
Chicago,2019,5.630833333333333,8.481321146527199,51530,51530
Chicago,2024,5.628333333333333,8.47163257429564,51545,51545
Chicago,2025,5.659166666666667,8.609770808202644,53619,53619
Copenhagen,2014,5.435833333333333,7.571309251014924,9528,9528
Copenhagen,2015,5.426666666666667,8.09872029250458,9097,9097
Copenhagen,2016,5.507499999999999,15.981012658227844,8171,8171
Copenhagen,2017,5.475,8.37522517502185,7960,7960
Copenhagen,2018,5.505833333333333,11.719707449476235,7338,7338
Copenhagen,2019,5.555833333333334,11.418542225893047,10707,10707
Copenhagen,2022,5.425,7.015403385694685,8461,8461
Copenhagen,2023,5.425,9.199065222009772,10109,10109
Copenhagen,2024,5.4125,4.888718967794881,14404,14404
Copenhagen,2025,5.378333333333333,4.21644413211526,18409,18409
Copenhagen,2026,5.3533333333333335,3.3495145631067924,21511,21511
Dubai,2016,5.652083333333334,14.381425011864156,1852,1852
Dubai,2019,5.647083333333333,14.6674386877097,1688,1688
Dubai,2020,5.697916666666667,14.157855080591798,1824,1824
Dubai,2023,5.660416666666666,10.060571130141204,3742,3742
Dubai,2024,5.5649999999999995,10.599622285174704,1245,1245
Dubai,2025,5.4350000000000005,8.456503717043194,1534,1534
Eindhoven,2011,4.98125,3.93962415043837,1268,1268
Eindhoven,2012,4.972083333333334,4.108489991018294,1264,1264
Eindhoven,2013,4.965,3.964413922272514,1277,1277
Eindhoven,2014,4.99625,6.82665400365522,1154,1154
Eindhoven,2015,5.136666666666667,4.87210718635811,1839,1839
Eindhoven,2016,5.213333333333334,5.710921401236391,2123,2123
Eindhoven,2018,5.25125,13.984265848952827,2012,2012
Eindhoven,2019,5.270416666666666,13.304071207696655,2386,2386
Eindhoven,2021,5.2275,4.40578767680051,1377,1377
Eindhoven,2022,5.0649999999999995,5.455825413586757,2459,2459
Eindhoven,2023,5.27375,7.155979069776263,2866,2866
Eindhoven,2024,5.295833333333333,4.351702263586077,4728,4728
Gold Coast,2016,5.595,14.29731925264013,5331,5331
Gold Coast,2017,5.611666666666666,13.414322250639387,5111,5111
Gold Coast,2018,5.63875,15.944631760214723,5712,5712
Gold Coast,2019,5.6525,12.613743007654177,5620,5620
Gold Coast,2022,5.358333333333333,8.08122104115563,3959,3959
Gold Coast,2023,5.3966666666666665,8.003233629749396,5811,5811
Gold Coast,2024,5.049166666666666,5.4824693826824085,5692,5692
Hamburg,2013,5.485,5.9001731102135135,11355,11355
Hamburg,2014,5.465833333333333,4.771921341070273,12806,12806
Hamburg,2015,5.5233333333333325,5.535268114549297,14663,14663
Hamburg,2016,5.4816666666666665,5.2263749620176325,12019,12019
Hamburg,2017,5.465833333333333,5.090714120332295,11884,11884
Hamburg,2018,5.565833333333333,9.63975509041719,9953,9953
Hamburg,2019,5.48625,4.75573422181138,10010,10010
Hamburg,2022,5.427499999999999,6.489034579269304,5460,5460
Hamburg,2023,5.4975000000000005,7.108816521048444,8343,8343
Hamburg,2024,5.546666666666667,8.737580362361186,10481,10481
Hamburg,2025,5.5175,5.650035137034437,10595,10595
Helsinki,2015,5.782916666666667,8.178767013002709,3356,3356
Helsinki,2016,5.685833333333333,7.804136730519895,2716,2716
Helsinki,2017,6.004166666666666,12.293519695044463,1781,1781
London,2019,5.7875,11.404494382022467,41765,41765
London,2021,5.5675,12.27159468438539,21929,21929
London,2022,5.798333333333333,12.194104262959382,30878,30878
London,2023,5.638333333333334,9.072773007199242,33381,33381
London,2024,5.691666666666666,8.551393200617753,46160,46160
London,2025,5.885000000000001,13.752261716846393,53796,53796
London,2026,5.870416666666667,11.239832093515055,56762,56762
Madrid,2013,5.420833333333333,3.410145424641964,7572,7572
Madrid,2014,5.37,6.3190705582317985,5873,5873
Madrid,2015,5.7075,1.8290148261050243,11517,11517
Madrid,2016,5.6225000000000005,5.79896907216495,9757,9757
Madrid,2017,5.738333333333333,6.299212598425208,9781,9781
Madrid,2018,5.715833333333333,5.544109660997199,8310,8310
Madrid,2019,5.3725000000000005,8.720040795512496,7677,7677
Madrid,2021,5.279583333333333,10.093017917326787,2978,2978
Madrid,2022,5.113333333333333,7.628798785613878,4152,4152
Madrid,2023,5.34,9.450124598717679,6914,6914
Madrid,2024,5.325,6.975933031042891,8495,8495
Madrid,2025,5.3758333333333335,8.165412790058369,9910,9910
Madrid,2026,5.439166666666667,10.504065040650401,10813,10813
New York,2006,6.0183333333333335,6.7772235176822075,34056,34056
New York,2007,5.9,9.04036623922566,15398,15398
